ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
291654,174462,317361,56,1,100,0.478,5,0,2243.59,2027.76,1495.99,0,189975,2005
291719,177680,316363,32,5,143,0.595,7,1,450.64,2065.36,3288.95,0,265965,2005
293440,175898,321392,46,1,220,0.423,7,1,206.09,3448.84,3533.5,1,398948,2005
295478,179560,317353,33,6,189,0.292,7,1,2502.26,3227.68,1237.33,0,367285,2005
297192,178853,318015,53,5,200,0.513,9,1,2005.19,2459.73,1734.39,0,444542,2005
297829,175799,318092,53,4,103,0.559,6,0,835.25,605.09,2904.34,0,198841,2005
299315,174101,315823,53,1,148,1.575,7,1,2668.82,3146.73,1070.77,0,379950,2005
299415,177496,319963,53,1,95,8.58,7,0,470.75,2269.86,3268.83,0,200107,2005
299429,179015,318043,90,1,127,0.347,7,0,2166.4,2622.25,1573.18,0,300794,2005
299451,179593,319053,24,1,105,0.824,7,0,2613.01,3374.94,1126.58,0,230503,2005
300293,174655,317493,23,1,103,1.027,7,0,2031.04,1804.97,1708.54,0,331823,2005
300326,176029,317361,100,1,124,0.43,7,0,724.42,717.26,3015.16,0,354620,2005
301140,179375,318683,23,5,76,8.76,7,0,2448.94,3063.48,1290.64,0,239369,2005
301999,177620,315640,57,7,179,0.53,7,0,497.36,2640.81,3242.22,0,284963,2005
302259,177579,316326,31,1,112,1.399,7,1,355.79,2033.96,3383.8,0,258366,2005
303517,179570,317260,53,6,200,0.349,7,1,2489.5,3256.74,1250.09,0,385016,2005
303784,179560,317353,33,1,142,0.474,7,1,2502.26,3227.68,1237.33,0,371085,2005
303788,175888,316670,64,1,110,0.707,7,0,895.69,1402.95,2843.9,0,408446,2005
305796,174413,319160,28,1,115,0.648,7,1,1836.79,2305.85,1902.8,0,278630,2005
308305,176273,320642,100,1,162,0.491,7,1,182.13,2665.81,3557.45,1,221638,2005
308600,178864,316844,66,1,100,0.426,7,0,1690.2,2718.62,2049.38,0,246334,2005
309633,177430,316249,38,7,120,0.5,7,1,232.1,2016.52,3507.48,0,278630,2005
310048,179254,319084,53,6,90,0.722,1,0,2272.98,3066.52,1466.61,0,196308,2005
311630,173780,316928,53,5,140,5.28,7,1,3005.7,2816.66,733.88,0,263088,2006
313657,176203,316669,100,7,115,5.12,7,0,587.91,1323.52,3151.68,0,288144,2006
313737,178869,314885,38,1,115,4.41,7,0,1569.9,3962.16,2169.68,0,219105,2005
314658,178507,315326,39,1,136,7.84,7,0,1281.36,3391.69,2458.22,0,224804,2005
314680,178458,318245,29,1,95,4.41,7,0,1604.62,2081.57,2134.96,0,208973,2005
315741,179378,317428,32,6,189,1.012,7,1,2335.42,3034.84,1404.16,0,413424,2006
316891,177769,315009,30,4,75,1.205,7,0,502.87,3272.77,3236.71,0,210872,2005
